restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
fscoffee,forecast_horizon,2025-02-28,2025-03-04,13276.557118721777,13480.44077760238,14083.458947653837,14205.176699159667,14401.856911755089,14622.28231481623,14875.911574442864,15024.315490561192,15142.627140431418,15631.872537862622,15777.83057266841,638.6672578336294,4,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-04,11329.192970064323,11451.485451447994,11928.469181807272,12011.499687884787,12178.101151614526,12407.76040496472,12606.444063499679,12804.27192954005,12888.034312808226,13383.754922429056,13574.595174801072,581.4925047626273,4,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-04,11042.556830286701,11190.170751711636,11652.037642209438,11721.33736764114,11875.928538131848,12069.272939961069,12292.033976422583,12452.88697570317,12559.070058022015,13081.588468426951,13260.716749770734,559.8970309948628,4,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-05,46991.31417590341,47389.27377719343,48391.4830976874,48566.542785508056,48984.35440431315,49458.61823695652,49921.72815597482,50278.33859371529,50500.137706654874,51584.594842732586,51909.67561239288,1248.7115452307382,5,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-05,8068.105822425978,8274.912347349698,8736.393310546013,8839.82249808563,9040.313118531192,9258.297201301422,9503.111923141445,9642.100230971728,9725.687460377674,10303.925894499322,10532.275827756783,618.5419850272857,5,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-05,13090.925738456112,13320.855895031247,13942.004688787678,14068.478866623405,14301.987662042711,14541.575843112947,14812.583521875353,14951.775195802817,15055.7245236878,15513.889411583685,15722.402113954584,675.6905248373954,5,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-05,11363.603794608716,11519.08908159621,11908.799023520092,12012.088702163706,12156.233879532896,12391.945188701568,12600.345637345372,12751.302918111265,12833.600866276376,13294.301157449856,13527.713890231678,548.5698957975262,5,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-05,12173.398943664304,12340.776170387575,12813.429265244562,12882.588577648388,13066.306106447133,13304.303675799867,13526.940454353615,13694.96466757914,13819.789758056748,14235.798322651493,14394.219826992447,587.3077543486766,5,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-06,47875.58910136182,48127.83325666399,49088.1181144293,49339.07492065059,49648.24493365789,50211.10343475186,50699.134980084316,51017.77728426846,51167.07861632557,52273.22764425041,52651.41655780069,1252.5985443152786,6,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-06,8843.408106063762,9064.489954627477,9599.07424921644,9718.888226224291,9911.927174457025,10141.392762662152,10379.694030191757,10587.733209025326,10693.883029105004,11225.34656888169,11468.399350794276,664.9240169698853,6,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-06,12110.601382386087,12341.54377761692,13049.738358005923,13167.419439796431,13369.87333201128,13621.483158388448,13857.33258864468,14017.958497734964,14102.404625973244,14592.463042289253,14755.469552701286,668.0065853260379,6,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-06,11613.23470229074,11803.57453239545,12282.136753213063,12384.08964772202,12560.493460254476,12776.1126089606,12973.890872160946,13164.361051323887,13239.188055457216,13668.121878825346,13891.689029626268,567.365137904566,6,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-06,12645.70053502728,12780.070638776184,13231.224691111229,13319.456457761804,13472.162753211334,13707.168004120289,13932.52895533,14085.919724794148,14170.513223250271,14598.366009725945,14806.366483941803,553.1572900194009,6,,False,2025-02-28_springdale
