restaurant,recent_observed_days,recent_mae_dollars,recent_rmse_dollars,recent_mape_percent,recent_bias_dollars,recent_90_coverage_percent,forecast_14_day_total,forecast_average_daily_sales,change_since_previous_forecast_available
all,12,3185.5984665734964,3963.423484567188,7.012763048053655,3160.2896544286364,58.333333333333336,686038.8264002453,49002.77331430324,False
downtown,14,991.6014426342045,1251.9388566125199,11.826414501621988,526.1675141896413,57.14285714285714,132548.0783648456,9467.719883203257,False
fscoffee,14,708.0795279502954,931.3492173509949,5.529593418790758,291.2149024298569,78.57142857142857,192615.6352858953,13758.259663278235,False
hurricane,12,1481.4877062610874,1650.843826743878,11.764488612030693,1408.18260827409,25.0,183814.4162420808,13129.601160148628,False
springdale,14,668.9060212472122,724.7230424780806,5.666903870852229,668.9060212472122,92.85714285714286,177426.88101005525,12673.348643575375,False
